Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.333s)
CreateVariables () DONE !!!
Creating 9 APs 30.00 and 30.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
11.00	-1.00	-1.00	2.61	-1.00	-1.00	2.20	-1.00	-1.00	0.76
12.00	-1.00	-1.00	3.59	-1.00	-1.00	1.51	-1.00	-1.00	1.79
13.00	-1.00	-1.00	2.95	-1.00	-1.00	4.75	-1.00	-1.00	4.46
14.00	-1.00	-1.00	0.26	-1.00	-1.00	3.88	-1.00	-1.00	5.04
15.00	-1.00	-1.00	2.58	-1.00	-1.00	2.95	-1.00	-1.00	3.64
16.00	-1.00	-1.00	5.79	-1.00	-1.00	2.03	-1.00	-1.00	1.85
17.00	-1.00	-1.00	1.16	-1.00	-1.00	2.84	-1.00	-1.00	0.23
18.00	-1.00	-1.00	3.42	-1.00	-1.00	3.94	-1.00	-1.00	3.65
19.00	-1.00	-1.00	3.76	-1.00	-1.00	2.09	-1.00	-1.00	1.85
20.00	-1.00	-1.00	2.04	-1.00	-1.00	1.39	-1.00	-1.00	5.18
21.00	-1.00	-1.00	4.44	-1.00	-1.00	4.81	-1.00	-1.00	3.22
22.00	-1.00	-1.00	2.43	-1.00	-1.00	3.65	-1.00	-1.00	3.53
23.00	-1.00	-1.00	2.03	-1.00	-1.00	0.98	-1.00	-1.00	2.43
24.00	-1.00	-1.00	3.42	-1.00	-1.00	2.32	-1.00	-1.00	2.03
25.00	-1.00	-1.00	3.70	-1.00	-1.00	2.14	-1.00	-1.00	2.51
26.00	-1.00	-1.00	3.36	-1.00	-1.00	1.39	-1.00	-1.00	1.89
27.00	-1.00	-1.00	1.27	-1.00	-1.00	0.23	-1.00	-1.00	2.09
28.00	-1.00	-1.00	1.04	-1.00	-1.00	1.33	-1.00	-1.00	1.04
29.00	-1.00	-1.00	3.89	-1.00	-1.00	4.11	-1.00	-1.00	0.75
30.00	-1.00	-1.00	4.51	-1.00	-1.00	2.72	-1.00	-1.00	2.03
31.00	-1.00	-1.00	2.20	-1.00	-1.00	2.32	-1.00	-1.00	3.72
32.00	-1.00	-1.00	4.58	-1.00	-1.00	3.13	-1.00	-1.00	0.80
33.00	-1.00	-1.00	2.95	-1.00	-1.00	4.52	-1.00	-1.00	0.98
34.00	-1.00	-1.00	2.15	-1.00	-1.00	1.39	-1.00	-1.00	3.07
35.00	-1.00	-1.00	3.08	-1.00	-1.00	3.48	-1.00	-1.00	5.62
36.00	-1.00	-1.00	1.26	-1.00	-1.00	2.55	-1.00	-1.00	1.33
37.00	-1.00	-1.00	2.26	-1.00	-1.00	2.33	-1.00	-1.00	2.37
38.00	-1.00	-1.00	3.76	-1.00	-1.00	1.50	-1.00	-1.00	3.13
39.00	-1.00	-1.00	5.50	-1.00	-1.00	3.07	-1.00	-1.00	1.39
10.1.1.3	3.19	18542.21
10.1.1.9	2.88	16926.23
10.1.1.6	2.81	18004.53
