Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.336s)
CreateVariables () DONE !!!
Creating 9 APs 30.00 and 30.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
11.00	-1.00	-1.00	0.41	-1.00	-1.00	4.34	-1.00	-1.00	1.27
12.00	-1.00	-1.00	0.52	-1.00	-1.00	1.27	-1.00	-1.00	1.97
13.00	-1.00	-1.00	2.95	-1.00	-1.00	0.52	-1.00	-1.00	4.34
14.00	-1.00	-1.00	1.51	-1.00	-1.00	3.30	-1.00	-1.00	0.70
15.00	-1.00	-1.00	2.48	-1.00	-1.00	2.03	-1.00	-1.00	1.74
16.00	-1.00	-1.00	1.64	-1.00	-1.00	2.55	-1.00	-1.00	2.15
17.00	-1.00	-1.00	0.29	-1.00	-1.00	2.61	-1.00	-1.00	3.53
18.00	-1.00	-1.00	0.64	-1.00	-1.00	1.16	-1.00	-1.00	0.41
19.00	-1.00	-1.00	1.74	-1.00	-1.00	1.68	-1.00	-1.00	2.78
20.00	-1.00	-1.00	0.70	-1.00	-1.00	3.30	-1.00	-1.00	1.85
21.00	-1.00	-1.00	1.85	-1.00	-1.00	0.75	-1.00	-1.00	1.62
22.00	-1.00	-1.00	3.59	-1.00	-1.00	2.84	-1.00	-1.00	1.85
23.00	-1.00	-1.00	1.91	-1.00	-1.00	1.45	-1.00	-1.00	3.30
24.00	-1.00	-1.00	1.51	-1.00	-1.00	1.91	-1.00	-1.00	0.70
25.00	-1.00	-1.00	3.07	-1.00	-1.00	1.10	-1.00	-1.00	0.46
26.00	-1.00	-1.00	1.82	-1.00	-1.00	2.09	-1.00	-1.00	2.83
27.00	-1.00	-1.00	0.54	-1.00	-1.00	2.78	-1.00	-1.00	2.73
28.00	-1.00	-1.00	0.00	-1.00	-1.00	2.32	-1.00	-1.00	2.44
29.00	-1.00	-1.00	0.00	-1.00	-1.00	1.51	-1.00	-1.00	0.69
30.00	-1.00	-1.00	0.00	-1.00	-1.00	2.95	-1.00	-1.00	2.78
31.00	-1.00	-1.00	0.00	-1.00	-1.00	4.17	-1.00	-1.00	2.61
32.00	-1.00	-1.00	0.00	-1.00	-1.00	3.36	-1.00	-1.00	1.50
33.00	-1.00	-1.00	0.00	-1.00	-1.00	1.91	-1.00	-1.00	2.66
34.00	-1.00	-1.00	0.00	-1.00	-1.00	2.66	-1.00	-1.00	1.66
35.00	-1.00	-1.00	0.00	-1.00	-1.00	2.95	-1.00	-1.00	1.64
36.00	-1.00	-1.00	0.00	-1.00	-1.00	0.93	-1.00	-1.00	2.14
37.00	-1.00	-1.00	0.00	-1.00	-1.00	1.91	-1.00	-1.00	2.20
38.00	-1.00	-1.00	0.00	-1.00	-1.00	4.12	-1.00	-1.00	2.55
39.00	-1.00	-1.00	0.00	-1.00	-1.00	1.15	-1.00	-1.00	0.87
10.1.1.3	1.28	16090.64
10.1.1.6	2.51	5335.21
10.1.1.9	2.19	8614.93
