Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.623s)
CreateVariables () DONE !!!
Creating 9 APs 30.00 and 30.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
11.00	-1.00	-1.00	1.85	-1.00	-1.00	1.45	-1.00	-1.00	0.99
12.00	-1.00	-1.00	2.20	-1.00	-1.00	0.93	-1.00	-1.00	1.56
13.00	-1.00	-1.00	0.55	-1.00	-1.00	1.97	-1.00	-1.00	1.51
14.00	-1.00	-1.00	2.35	-1.00	-1.00	0.64	-1.00	-1.00	2.09
15.00	-1.00	-1.00	1.85	-1.00	-1.00	0.52	-1.00	-1.00	0.81
16.00	-1.00	-1.00	1.27	-1.00	-1.00	0.81	-1.00	-1.00	1.16
17.00	-1.00	-1.00	1.56	-1.00	-1.00	1.74	-1.00	-1.00	1.22
18.00	-1.00	-1.00	1.04	-1.00	-1.00	2.14	-1.00	-1.00	2.14
19.00	-1.00	-1.00	0.12	-1.00	-1.00	1.62	-1.00	-1.00	1.06
20.00	-1.00	-1.00	0.98	-1.00	-1.00	1.74	-1.00	-1.00	2.01
21.00	-1.00	-1.00	1.74	-1.00	-1.00	1.68	-1.00	-1.00	1.10
22.00	-1.00	-1.00	2.20	-1.00	-1.00	1.85	-1.00	-1.00	1.91
23.00	-1.00	-1.00	1.22	-1.00	-1.00	1.33	-1.00	-1.00	2.44
24.00	-1.00	-1.00	0.93	-1.00	-1.00	0.98	-1.00	-1.00	1.44
25.00	-1.00	-1.00	1.16	-1.00	-1.00	1.87	-1.00	-1.00	2.14
26.00	-1.00	-1.00	2.61	-1.00	-1.00	1.08	-1.00	-1.00	2.14
27.00	-1.00	-1.00	1.85	-1.00	-1.00	1.62	-1.00	-1.00	0.58
28.00	-1.00	-1.00	2.61	-1.00	-1.00	0.93	-1.00	-1.00	2.20
29.00	-1.00	-1.00	1.16	-1.00	-1.00	1.62	-1.00	-1.00	1.56
30.00	-1.00	-1.00	1.22	-1.00	-1.00	1.62	-1.00	-1.00	2.32
31.00	-1.00	-1.00	1.27	-1.00	-1.00	0.87	-1.00	-1.00	2.95
32.00	-1.00	-1.00	1.97	-1.00	-1.00	0.64	-1.00	-1.00	2.90
33.00	-1.00	-1.00	2.09	-1.00	-1.00	2.14	-1.00	-1.00	1.16
34.00	-1.00	-1.00	0.93	-1.00	-1.00	1.80	-1.00	-1.00	0.75
35.00	-1.00	-1.00	1.97	-1.00	-1.00	2.95	-1.00	-1.00	0.58
36.00	-1.00	-1.00	0.75	-1.00	-1.00	0.46	-1.00	-1.00	0.17
37.00	-1.00	-1.00	1.51	-1.00	-1.00	1.62	-1.00	-1.00	1.45
38.00	-1.00	-1.00	1.27	-1.00	-1.00	0.98	-1.00	-1.00	1.74
39.00	-1.00	-1.00	2.49	-1.00	-1.00	2.72	-1.00	-1.00	0.35
10.1.1.3	1.72	2683.91
10.1.1.6	1.62	2560.28
10.1.1.9	1.71	2568.27
