Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.542s)
CreateVariables () DONE !!!
Creating 9 APs 30.00 and 30.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
11.00	-1.00	-1.00	1.80	-1.00	-1.00	0.58	-1.00	-1.00	0.23
12.00	-1.00	-1.00	1.97	-1.00	-1.00	1.74	-1.00	-1.00	2.20
13.00	-1.00	-1.00	2.03	-1.00	-1.00	2.32	-1.00	-1.00	2.95
14.00	-1.00	-1.00	3.24	-1.00	-1.00	3.65	-1.00	-1.00	1.91
15.00	-1.00	-1.00	3.48	-1.00	-1.00	1.74	-1.00	-1.00	4.81
16.00	-1.00	-1.00	2.72	-1.00	-1.00	0.87	-1.00	-1.00	2.95
17.00	-1.00	-1.00	2.61	-1.00	-1.00	4.11	-1.00	-1.00	3.53
18.00	-1.00	-1.00	4.58	-1.00	-1.00	1.56	-1.00	-1.00	3.48
19.00	-1.00	-1.00	2.78	-1.00	-1.00	3.59	-1.00	-1.00	1.80
20.00	-1.00	-1.00	1.62	-1.00	-1.00	2.84	-1.00	-1.00	4.46
21.00	-1.00	-1.00	2.95	-1.00	-1.00	2.95	-1.00	-1.00	3.48
22.00	-1.00	-1.00	2.20	-1.00	-1.00	2.32	-1.00	-1.00	2.61
23.00	-1.00	-1.00	1.80	-1.00	-1.00	2.90	-1.00	-1.00	1.27
24.00	-1.00	-1.00	1.85	-1.00	-1.00	1.27	-1.00	-1.00	4.81
25.00	-1.00	-1.00	3.36	-1.00	-1.00	2.37	-1.00	-1.00	1.33
26.00	-1.00	-1.00	3.07	-1.00	-1.00	1.22	-1.00	-1.00	4.00
27.00	-1.00	-1.00	0.75	-1.00	-1.00	2.49	-1.00	-1.00	1.27
28.00	-1.00	-1.00	3.65	-1.00	-1.00	2.43	-1.00	-1.00	4.69
29.00	-1.00	-1.00	2.72	-1.00	-1.00	0.29	-1.00	-1.00	3.01
30.00	-1.00	-1.00	2.49	-1.00	-1.00	3.48	-1.00	-1.00	1.04
31.00	-1.00	-1.00	1.62	-1.00	-1.00	3.94	-1.00	-1.00	3.65
32.00	-1.00	-1.00	1.80	-1.00	-1.00	1.62	-1.00	-1.00	2.26
33.00	-1.00	-1.00	0.70	-1.00	-1.00	4.00	-1.00	-1.00	1.97
34.00	-1.00	-1.00	4.05	-1.00	-1.00	3.19	-1.00	-1.00	4.05
35.00	-1.00	-1.00	2.32	-1.00	-1.00	2.26	-1.00	-1.00	1.74
36.00	-1.00	-1.00	4.52	-1.00	-1.00	0.64	-1.00	-1.00	2.14
37.00	-1.00	-1.00	2.55	-1.00	-1.00	3.71	-1.00	-1.00	2.55
38.00	-1.00	-1.00	3.71	-1.00	-1.00	1.97	-1.00	-1.00	3.71
39.00	-1.00	-1.00	3.42	-1.00	-1.00	1.27	-1.00	-1.00	2.03
10.1.1.3	2.94	2821.43
10.1.1.9	3.01	2874.78
10.1.1.6	2.55	2851.92
