Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.468s)
CreateVariables () DONE !!!
Creating 9 APs 30.00 and 30.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
11.00	-1.00	-1.00	3.00	-1.00	-1.00	2.71	-1.00	-1.00	0.88
12.00	-1.00	-1.00	1.94	-1.00	-1.00	1.88	-1.00	-1.00	2.83
13.00	-1.00	-1.00	1.00	-1.00	-1.00	2.30	-1.00	-1.00	1.30
14.00	-1.00	-1.00	3.12	-1.00	-1.00	2.30	-1.00	-1.00	2.30
15.00	-1.00	-1.00	2.41	-1.00	-1.00	2.59	-1.00	-1.00	0.47
16.00	-1.00	-1.00	3.30	-1.00	-1.00	3.77	-1.00	-1.00	2.24
17.00	-1.00	-1.00	0.65	-1.00	-1.00	2.41	-1.00	-1.00	1.06
18.00	-1.00	-1.00	2.89	-1.00	-1.00	1.53	-1.00	-1.00	1.94
19.00	-1.00	-1.00	2.06	-1.00	-1.00	0.41	-1.00	-1.00	2.41
20.00	-1.00	-1.00	1.88	-1.00	-1.00	1.12	-1.00	-1.00	2.41
21.00	-1.00	-1.00	2.59	-1.00	-1.00	2.89	-1.00	-1.00	2.65
22.00	-1.00	-1.00	0.65	-1.00	-1.00	3.42	-1.00	-1.00	1.24
23.00	-1.00	-1.00	3.77	-1.00	-1.00	2.00	-1.00	-1.00	2.30
24.00	-1.00	-1.00	2.47	-1.00	-1.00	1.83	-1.00	-1.00	3.18
25.00	-1.00	-1.00	1.47	-1.00	-1.00	1.35	-1.00	-1.00	2.00
26.00	-1.00	-1.00	1.77	-1.00	-1.00	3.59	-1.00	-1.00	2.89
27.00	-1.00	-1.00	0.71	-1.00	-1.00	3.47	-1.00	-1.00	2.83
28.00	-1.00	-1.00	2.53	-1.00	-1.00	0.88	-1.00	-1.00	2.94
29.00	-1.00	-1.00	2.47	-1.00	-1.00	2.83	-1.00	-1.00	2.24
30.00	-1.00	-1.00	1.83	-1.00	-1.00	3.53	-1.00	-1.00	3.18
31.00	-1.00	-1.00	2.18	-1.00	-1.00	3.36	-1.00	-1.00	2.83
32.00	-1.00	-1.00	2.30	-1.00	-1.00	3.71	-1.00	-1.00	2.53
33.00	-1.00	-1.00	0.88	-1.00	-1.00	0.29	-1.00	-1.00	2.83
34.00	-1.00	-1.00	2.71	-1.00	-1.00	3.00	-1.00	-1.00	2.47
35.00	-1.00	-1.00	1.00	-1.00	-1.00	3.36	-1.00	-1.00	1.00
36.00	-1.00	-1.00	2.41	-1.00	-1.00	2.83	-1.00	-1.00	0.18
37.00	-1.00	-1.00	0.59	-1.00	-1.00	2.12	-1.00	-1.00	2.47
38.00	-1.00	-1.00	2.06	-1.00	-1.00	1.65	-1.00	-1.00	2.89
39.00	-1.00	-1.00	1.35	-1.00	-1.00	1.77	-1.00	-1.00	3.12
10.1.1.3	2.03	3137.66
10.1.1.6	2.37	2614.54
10.1.1.9	2.26	3346.72
