Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.444s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27	ap-28	ap-29	ap-30	ap-31	ap-32	ap-33	ap-34	ap-35
61.000	0.000	0.000	0.082	0.000	0.000	0.000	0.024	0.165	0.989	0.412	0.012	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.059	0.024	0.000	0.000	0.000	0.000	0.471	0.989	0.059	0.000	0.000	0.000	0.000	0.730	0.000	0.000
62.000	0.012	0.012	0.130	0.024	0.012	0.012	0.047	0.365	1.001	0.118	0.047	0.000	0.000	0.000	0.212	0.000	0.000	0.000	0.000	0.000	0.071	0.294	0.118	0.059	0.000	0.000	0.365	1.001	0.294	0.024	0.000	0.000	0.000	0.718	0.059	0.000
63.000	0.106	0.177	0.353	0.035	0.000	0.000	0.106	0.035	1.001	0.200	0.012	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.412	0.012	0.000	0.000	0.000	0.389	1.001	0.377	0.188	0.000	0.000	0.000	0.389	0.047	0.012
64.000	0.035	0.106	0.212	0.000	0.000	0.000	0.000	0.000	1.001	0.094	0.024	0.000	0.000	0.000	0.130	0.000	0.000	0.000	0.024	0.000	0.024	0.365	0.000	0.035	0.000	0.000	0.165	1.001	0.353	0.000	0.000	0.000	0.000	0.648	0.082	0.130
65.000	0.059	0.389	0.447	0.047	0.035	0.059	0.024	0.035	1.001	0.082	0.012	0.000	0.000	0.000	0.283	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.247	1.001	0.459	0.000	0.000	0.000	0.000	0.589	0.000	0.024
66.000	0.141	0.118	0.118	0.035	0.000	0.000	0.035	0.071	1.001	0.365	0.012	0.000	0.012	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.707	0.118	0.024	0.000	0.000	0.224	1.001	0.035	0.000	0.000	0.000	0.000	0.271	0.000	0.000
67.000	0.000	0.071	0.342	0.082	0.012	0.012	0.165	0.188	1.001	0.330	0.071	0.000	0.000	0.000	0.047	0.012	0.000	0.000	0.000	0.000	0.000	0.365	0.188	0.000	0.000	0.000	0.306	1.001	0.071	0.000	0.000	0.000	0.000	0.589	0.000	0.000
68.000	0.212	0.141	0.200	0.047	0.000	0.000	0.024	0.318	1.001	0.071	0.012	0.000	0.000	0.012	0.082	0.000	0.000	0.000	0.000	0.000	0.012	0.306	0.000	0.000	0.000	0.000	0.389	1.001	0.118	0.000	0.000	0.000	0.000	0.707	0.000	0.000
69.000	0.000	0.047	0.283	0.212	0.035	0.059	0.059	0.306	1.001	0.035	0.000	0.000	0.000	0.000	0.259	0.000	0.000	0.000	0.000	0.024	0.059	0.212	0.000	0.000	0.000	0.000	0.130	1.001	0.247	0.024	0.000	0.000	0.000	0.801	0.094	0.000
70.000	0.024	0.130	0.236	0.130	0.024	0.094	0.000	0.118	1.001	0.224	0.047	0.000	0.000	0.000	0.071	0.047	0.000	0.000	0.000	0.000	0.012	0.342	0.012	0.000	0.000	0.000	0.024	1.001	0.330	0.071	0.000	0.000	0.000	0.695	0.094	0.059
