Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.434s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27	ap-28	ap-29	ap-30	ap-31	ap-32	ap-33	ap-34	ap-35
71.000	0.224	0.919	0.000	0.000	0.000	0.000	0.212	1.001	0.883	0.000	0.000	0.000	0.141	0.000	0.342	0.459	1.001	0.765	0.165	0.000	0.000	0.012	0.000	0.224	0.000	0.765	1.001	1.083	0.000	0.000	0.000	0.000	0.000	1.013	0.000	0.000
72.000	0.059	0.919	0.000	0.000	0.000	0.000	0.071	1.001	0.400	0.000	0.000	0.000	0.130	0.000	0.130	0.330	1.001	0.836	0.012	0.000	0.000	0.000	0.000	0.789	0.000	0.683	1.001	0.636	0.000	0.000	0.000	0.000	0.000	0.483	0.000	0.000
73.000	0.542	1.001	0.000	0.000	0.000	0.000	0.589	0.989	0.424	0.000	0.000	0.000	0.000	0.659	0.035	0.695	0.989	0.789	0.000	0.000	0.000	0.177	0.000	0.695	0.000	0.718	0.989	0.506	0.000	0.000	0.259	0.271	0.000	0.659	0.000	0.000
74.000	0.659	0.718	0.000	0.000	0.000	0.000	0.447	1.001	0.848	0.000	0.000	0.000	0.000	0.530	0.907	0.860	1.001	0.565	0.000	0.000	0.000	0.000	0.000	0.589	0.000	0.589	1.001	0.730	0.000	0.259	0.506	0.636	0.000	0.412	0.000	0.000
75.000	1.001	0.966	0.000	0.000	0.000	0.000	1.025	1.001	0.683	0.000	0.165	0.000	0.000	0.236	0.389	0.553	1.001	0.907	0.000	0.000	0.624	0.035	0.024	0.930	0.000	0.895	1.001	0.824	0.000	0.742	0.436	0.577	0.000	0.553	0.000	0.000
76.000	0.789	0.742	0.000	0.000	0.000	0.000	0.730	1.001	0.989	0.000	0.000	0.000	0.000	0.000	0.012	0.671	1.001	0.801	0.000	0.000	0.530	0.353	0.177	0.035	0.000	0.412	1.001	0.754	0.000	0.000	0.424	0.365	0.000	0.294	0.000	0.000
77.000	0.636	0.589	0.000	0.000	0.000	0.000	0.659	1.001	0.424	0.000	0.000	0.000	0.000	0.000	0.471	0.648	1.001	0.648	0.000	0.000	0.130	0.683	0.012	0.224	0.000	0.601	1.001	0.624	0.000	0.035	0.082	0.353	0.000	0.436	0.000	0.000
78.000	0.318	0.353	0.000	0.000	0.000	0.000	0.283	1.001	0.801	0.000	0.000	0.000	0.000	0.000	0.118	0.695	1.001	0.813	0.000	0.000	0.930	0.212	0.212	0.542	0.000	0.848	1.001	0.801	0.000	0.330	0.000	0.424	0.000	0.577	0.000	0.000
79.000	0.765	0.954	0.000	0.000	0.000	0.000	0.141	1.001	1.107	0.000	0.471	0.000	0.000	0.000	0.094	0.459	1.001	0.412	0.000	0.000	0.801	0.236	0.035	0.236	0.000	0.353	1.001	0.730	0.000	0.082	0.035	0.659	0.000	0.012	0.000	0.000
80.000	0.542	0.801	0.000	0.000	0.000	0.000	0.000	1.001	0.966	0.000	1.083	0.000	0.000	0.000	0.236	0.353	1.001	0.789	0.000	0.000	0.942	0.283	0.000	0.518	0.000	0.871	1.001	0.495	0.000	0.000	0.294	0.377	0.000	0.000	0.000	0.000
81.000	0.777	0.765	0.236	0.000	0.000	0.000	0.754	1.001	0.565	0.000	0.530	0.000	0.000	0.000	0.177	0.495	1.001	0.671	0.000	0.000	0.047	0.412	0.012	0.353	0.071	0.754	1.001	0.919	0.000	0.000	0.483	0.459	0.000	0.000	0.000	0.000
82.000	0.777	0.824	0.836	0.000	0.247	0.012	0.789	1.001	0.836	0.000	0.601	0.012	0.000	0.000	0.012	0.141	1.001	0.483	0.000	0.000	0.000	0.271	0.059	0.294	0.000	0.342	1.001	0.577	0.000	0.000	0.177	0.283	0.000	0.082	0.000	0.000
83.000	0.459	0.777	0.377	0.000	0.365	0.271	0.883	1.001	0.765	0.000	0.365	0.342	0.000	0.000	0.377	0.424	1.001	0.671	0.000	0.000	0.071	0.247	0.000	0.106	0.000	0.365	1.001	1.130	0.000	0.000	0.483	0.542	0.000	0.601	0.000	0.000
84.000	0.966	1.025	0.000	0.000	0.565	0.000	0.765	1.001	0.930	0.000	0.636	0.177	0.000	0.000	0.212	0.212	1.001	0.589	0.000	0.000	0.447	0.047	0.000	0.000	0.000	0.636	1.001	0.754	0.000	0.000	0.459	0.400	0.000	0.636	0.000	0.000
85.000	0.565	0.871	0.000	0.000	0.000	0.000	0.942	0.989	0.106	0.000	0.695	0.200	0.000	0.659	0.577	0.636	0.989	0.742	0.000	0.000	0.506	0.447	0.000	0.000	0.000	0.188	0.989	0.648	0.000	0.000	0.247	0.141	0.000	0.553	0.000	0.000
86.000	0.518	0.860	0.000	0.000	0.495	0.000	0.671	1.001	0.000	0.000	0.447	0.518	0.000	0.495	0.118	0.483	1.001	0.930	0.000	0.000	0.730	0.106	0.000	0.000	0.000	0.730	1.001	0.636	0.000	0.000	0.259	0.518	0.000	0.553	0.000	0.000
87.000	0.471	0.871	0.000	0.000	0.365	0.118	0.542	1.001	0.000	0.000	0.883	0.318	0.389	0.553	0.071	0.283	1.001	0.601	0.000	0.000	1.013	0.000	0.130	0.000	0.000	0.707	1.001	0.954	0.000	0.000	0.224	0.130	0.000	0.365	0.000	0.000
88.000	0.612	0.412	0.000	0.000	0.094	0.012	0.542	1.001	0.000	0.000	0.330	0.389	0.082	0.683	0.400	0.471	1.001	0.471	0.035	0.000	0.459	0.000	0.424	0.000	0.000	0.730	1.001	0.989	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
89.000	0.459	0.860	0.400	0.000	0.118	0.082	0.883	1.001	0.000	0.000	0.047	0.294	0.247	0.506	0.141	0.400	1.001	0.389	0.400	0.000	0.200	0.200	0.942	0.000	0.000	0.930	1.001	0.153	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
90.000	0.259	0.518	0.330	0.000	0.000	0.000	0.424	1.001	0.000	0.000	0.000	0.754	0.447	0.530	0.389	0.236	1.001	1.013	0.294	0.000	0.000	0.000	0.542	0.000	0.000	0.989	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
91.000	0.424	0.718	0.542	0.000	0.000	0.106	0.601	1.001	0.000	0.000	0.000	0.400	0.165	0.000	0.106	0.106	1.001	0.377	0.236	0.000	0.695	0.024	0.624	0.000	0.000	0.871	1.001	0.730	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
92.000	0.200	0.294	0.012	0.035	0.000	0.024	0.553	1.001	0.000	0.000	0.000	0.118	0.165	0.000	0.377	0.683	1.001	0.165	0.247	0.000	0.848	0.000	0.436	0.000	0.000	0.777	1.001	0.671	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
93.000	0.236	0.412	0.365	0.565	0.000	0.071	0.259	1.001	0.000	0.000	0.000	0.707	0.153	0.000	0.365	0.730	1.001	0.848	0.141	0.000	0.742	0.000	0.306	0.000	0.000	0.919	1.001	0.707	0.000	0.000	0.000	0.000	0.000	0.436	0.000	0.000
94.000	0.506	0.648	0.400	0.506	0.000	0.000	0.919	1.001	0.000	0.000	0.000	0.942	0.000	0.848	0.000	0.683	1.001	0.813	0.000	0.000	0.707	0.000	0.000	0.000	0.000	0.718	1.001	0.919	0.000	0.000	0.000	0.000	0.000	0.754	0.000	0.000
95.000	0.318	0.447	0.165	0.330	0.000	0.000	0.589	1.001	0.000	0.000	0.000	0.424	0.259	0.000	0.000	0.330	1.001	0.495	0.071	0.000	0.389	0.047	0.471	0.000	0.000	0.671	1.001	0.695	0.000	0.000	0.000	0.000	0.000	0.424	0.000	0.000
96.000	0.165	0.400	0.224	0.188	0.000	0.000	0.424	1.001	0.000	0.000	0.000	0.589	0.483	0.000	0.000	0.000	1.001	1.001	0.118	0.000	1.048	0.283	0.754	0.000	0.000	0.813	1.001	0.318	0.000	0.000	0.000	0.000	0.000	0.259	0.000	0.000
97.000	1.025	0.813	0.000	0.000	0.000	0.000	0.954	0.989	0.000	0.000	0.000	1.083	0.471	0.000	0.000	0.000	0.989	0.848	0.412	0.000	0.707	0.130	0.907	0.000	0.000	0.648	0.989	0.824	0.000	0.000	0.000	0.000	0.000	0.895	0.000	0.000
98.000	0.813	0.954	0.000	0.000	0.000	0.000	0.730	1.001	0.000	0.000	0.000	0.789	0.601	0.000	0.000	0.000	1.001	0.789	0.530	0.000	0.601	0.000	0.907	0.000	0.000	1.025	1.001	1.119	0.000	0.000	0.000	0.000	0.000	1.072	0.000	0.000
99.000	0.601	0.342	0.000	0.000	0.000	0.000	0.695	1.001	0.000	0.000	0.000	1.107	0.707	0.000	0.000	0.895	1.001	1.107	0.424	0.000	0.259	0.000	1.013	0.000	0.000	0.883	1.001	0.542	0.000	0.000	0.365	0.530	0.000	0.636	0.000	0.000
100.000	0.000	0.000	0.000	0.000	0.000	0.000	1.213	1.001	0.000	0.000	0.000	0.801	1.178	0.000	0.000	0.966	1.001	0.801	0.000	0.000	0.000	0.000	0.942	0.000	0.000	1.036	1.001	0.813	0.000	0.000	0.683	1.025	0.000	0.553	0.000	0.000
101.000	0.659	0.836	0.000	0.000	0.012	0.082	0.765	1.001	0.000	0.000	0.553	0.459	0.035	0.695	0.000	0.789	1.001	0.518	0.000	0.000	0.047	0.000	0.695	0.000	0.000	0.094	1.001	0.848	0.000	0.000	0.200	0.071	0.000	0.754	0.000	0.000
102.000	0.683	0.730	0.000	0.000	0.000	0.047	0.907	1.001	0.000	0.000	0.542	0.259	0.000	0.754	0.236	0.495	1.001	0.518	0.000	0.000	0.306	0.000	0.765	0.000	0.000	0.483	1.001	0.636	0.000	0.000	0.106	0.094	0.000	0.141	0.000	0.000
103.000	0.553	0.813	0.000	0.000	0.094	0.082	0.765	1.001	0.000	0.012	0.518	0.271	0.118	0.695	0.318	0.942	1.001	1.013	0.000	0.000	0.483	0.000	0.765	0.000	0.000	0.742	1.001	0.389	0.000	0.000	0.483	0.471	0.000	0.236	0.000	0.000
104.000	0.624	0.671	0.000	0.000	0.000	0.000	0.848	1.001	0.000	0.024	1.048	0.000	0.589	0.836	0.518	0.612	1.001	0.871	0.000	0.000	0.883	0.000	0.942	0.000	0.000	0.200	1.001	0.765	0.000	0.000	0.212	0.247	0.000	0.000	0.000	0.000
105.000	0.707	0.801	0.000	0.000	0.000	0.000	1.083	1.001	0.000	0.353	0.824	0.000	0.848	0.365	0.365	0.966	1.001	0.813	0.000	0.000	0.742	0.000	0.824	0.000	0.000	0.318	1.001	0.942	0.000	0.000	0.118	0.188	0.000	0.000	0.000	0.000
106.000	0.436	0.459	0.000	0.000	0.000	0.000	0.648	1.001	0.000	0.683	0.789	0.353	0.930	0.895	0.000	0.777	1.001	0.754	0.000	0.000	0.718	0.000	0.530	0.000	0.000	0.000	1.001	0.966	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
107.000	0.742	0.895	0.000	0.000	0.000	0.000	0.707	1.001	0.000	0.118	0.365	0.141	0.518	0.765	0.035	0.765	1.001	0.436	0.000	0.000	0.471	0.000	0.565	0.000	0.000	0.836	1.001	1.036	0.082	0.000	0.012	0.601	0.000	0.000	0.000	0.000
108.000	0.518	0.671	0.000	0.000	0.000	0.000	0.777	1.001	0.000	0.106	0.436	0.177	0.589	0.601	0.059	0.542	1.001	0.707	0.000	0.000	0.000	0.000	0.200	0.000	0.000	1.083	1.001	0.860	0.012	0.000	0.000	0.919	0.000	0.000	0.000	0.000
109.000	0.506	0.659	0.000	0.000	0.000	0.000	0.718	1.001	0.000	0.047	0.495	0.447	0.236	0.412	0.259	0.471	0.989	0.871	0.000	0.000	0.047	0.000	0.353	0.000	0.000	0.754	0.989	0.659	0.318	0.000	0.224	0.330	0.000	0.000	0.000	0.000
110.000	0.212	0.283	0.000	0.000	0.000	0.000	0.601	0.989	0.000	0.000	0.389	0.188	0.118	0.342	0.141	0.165	1.001	0.624	0.012	0.000	0.989	0.000	0.506	0.000	0.000	0.236	1.001	0.542	0.177	0.000	0.130	0.271	0.000	0.000	0.000	0.000
111.000	0.071	0.365	0.000	0.000	0.000	0.000	0.542	1.001	0.389	0.000	0.330	0.106	0.082	0.283	0.130	0.977	1.001	0.718	0.082	0.000	0.695	0.000	0.188	0.000	0.000	0.553	1.001	1.025	0.236	0.000	0.094	0.365	0.000	0.000	0.000	0.000
112.000	0.306	0.412	0.000	0.000	0.000	0.000	0.518	1.001	0.506	0.000	1.142	0.930	0.671	0.919	0.118	0.436	1.001	0.754	0.212	0.000	0.459	0.000	0.400	0.000	0.000	0.989	1.001	0.883	0.153	0.000	0.000	0.989	0.000	0.000	0.000	0.000
113.000	0.530	0.436	0.000	0.000	0.000	0.000	0.671	1.001	0.342	0.000	0.942	0.247	0.271	0.813	0.542	0.059	1.001	0.212	0.000	0.000	0.954	0.000	0.930	0.000	0.000	0.824	1.001	0.424	0.283	0.000	0.000	0.577	0.000	0.000	0.000	0.000
114.000	0.035	0.130	0.000	0.000	0.000	0.000	0.612	1.001	1.025	0.000	0.836	0.000	0.683	1.048	0.141	0.000	1.001	0.000	0.000	0.000	0.459	0.000	0.954	0.000	0.000	0.801	1.001	0.942	0.000	0.000	0.000	0.777	0.000	0.000	0.000	0.000
115.000	0.530	0.871	0.000	0.000	0.247	0.000	0.283	1.001	0.754	0.000	1.048	0.000	0.071	0.106	0.318	0.000	1.001	0.000	0.000	0.000	0.577	0.000	0.342	0.000	0.000	1.036	1.001	0.718	0.000	0.000	0.000	0.989	0.000	0.000	0.000	0.000
116.000	1.036	1.025	0.000	0.000	0.695	0.000	0.000	1.001	0.895	0.000	1.036	0.000	0.000	0.000	1.036	0.000	1.001	0.000	0.000	0.000	1.448	0.000	0.000	0.000	0.000	0.954	1.001	0.930	0.000	0.000	0.000	1.107	0.000	0.000	0.000	0.000
117.000	0.141	0.577	0.000	0.000	0.000	0.000	0.518	1.001	0.954	0.000	0.895	0.447	0.306	0.236	0.035	0.082	1.001	0.730	0.000	0.000	0.624	0.342	0.000	0.000	0.000	0.871	1.001	0.506	0.000	0.000	0.000	0.141	0.000	0.000	0.000	0.000
118.000	0.707	0.942	0.000	0.000	0.000	0.000	0.871	1.001	0.601	0.000	0.977	0.824	0.530	0.836	0.000	0.000	1.001	0.907	0.000	0.000	0.577	0.330	0.000	0.000	0.000	0.883	1.001	1.095	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
119.000	0.907	0.871	0.000	0.000	0.000	0.000	0.977	1.001	0.695	0.000	0.141	0.236	0.330	0.777	0.000	0.000	1.001	0.707	0.000	0.000	0.648	0.648	0.224	0.000	0.000	0.789	1.001	0.954	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
120.000	1.095	1.095	0.000	0.000	0.000	0.000	0.989	1.001	0.977	0.000	0.000	0.000	0.000	0.954	0.000	0.000	1.001	0.765	0.000	0.000	0.589	0.483	0.612	0.000	0.000	0.824	1.001	0.671	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
