Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.438s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27	ap-28	ap-29	ap-30	ap-31	ap-32	ap-33	ap-34	ap-35
61.000	0.989	0.530	0.000	0.730	0.000	0.000	0.930	0.153	0.848	0.989	0.012	0.000	0.718	0.989	0.000	0.000	0.565	0.000	0.342	0.000	0.106	0.848	0.989	0.153	0.000	0.000	0.989	0.330	0.000	0.954	0.000	0.000	0.000	0.930	0.942	0.989
62.000	1.001	0.966	0.000	0.659	0.000	0.000	0.966	0.094	0.671	1.001	0.883	0.000	0.765	1.001	0.000	0.000	0.907	0.389	0.542	0.000	0.848	0.459	1.001	0.412	0.000	0.000	1.001	0.612	0.000	0.765	0.000	0.000	0.000	1.025	1.013	1.001
63.000	1.001	0.966	0.000	0.542	0.000	0.000	0.907	1.130	0.765	1.001	0.259	0.000	0.942	1.001	0.000	0.000	0.495	0.377	0.848	0.000	0.518	0.954	1.001	0.707	0.000	0.000	1.001	0.848	0.000	1.178	0.000	0.000	0.000	0.966	1.001	1.001
64.000	1.001	0.883	0.000	0.954	0.000	0.000	0.848	0.624	0.636	1.001	1.107	0.000	0.789	1.001	0.000	0.000	0.624	0.283	0.553	0.000	0.919	0.495	1.001	0.907	0.000	0.000	1.001	0.754	0.000	1.013	0.000	0.000	0.000	0.907	0.942	1.001
65.000	1.001	0.977	0.012	0.683	0.000	0.000	1.072	0.930	0.777	1.001	0.871	0.000	0.730	1.001	0.000	0.000	0.707	0.294	0.542	0.000	0.636	0.695	1.001	0.683	0.000	0.000	1.001	0.471	0.082	0.659	0.000	0.000	0.059	0.883	0.942	1.001
66.000	1.001	0.813	0.000	0.883	0.000	0.000	0.966	0.789	0.742	1.001	0.518	0.000	0.471	1.001	0.000	0.000	0.165	0.200	0.506	0.000	0.836	0.294	1.001	0.789	0.000	0.000	1.001	0.553	0.977	0.977	0.000	0.000	0.000	0.919	0.907	1.001
67.000	1.001	1.130	0.000	1.060	0.000	0.000	0.389	0.447	0.977	1.001	0.447	0.000	0.212	1.001	0.000	0.000	1.013	0.224	0.000	0.000	0.919	0.400	1.001	0.518	0.000	0.000	1.001	0.954	0.671	1.142	0.000	0.000	0.000	0.294	0.860	1.001
68.000	1.001	0.765	0.000	0.942	0.000	0.000	0.071	0.236	0.836	1.001	0.000	0.000	0.000	1.001	0.000	0.000	0.495	0.447	0.000	0.000	0.895	0.813	1.001	0.718	0.000	0.000	1.001	0.707	0.624	0.436	0.000	0.000	0.000	0.907	0.966	1.001
69.000	1.001	1.130	0.000	0.836	0.000	0.000	0.271	0.636	0.636	1.001	0.707	0.000	0.754	1.001	0.000	0.000	0.565	0.306	0.342	0.000	0.860	0.506	1.001	0.777	0.000	0.000	1.001	0.447	0.330	1.013	0.000	0.000	0.000	1.025	1.036	1.001
70.000	1.001	1.001	0.000	0.895	0.000	0.000	0.342	0.542	0.907	1.001	0.765	0.000	0.883	1.001	0.000	0.000	0.530	0.412	0.000	0.000	0.624	0.848	1.001	0.495	0.000	0.000	1.001	1.013	0.000	0.989	0.000	0.000	0.000	0.836	0.871	1.001
71.000	1.001	0.730	0.000	0.836	0.000	0.000	0.236	0.342	0.813	1.001	0.648	0.000	0.271	1.001	0.000	0.000	0.436	0.283	0.000	0.000	0.754	0.342	1.001	0.789	0.000	0.000	1.001	0.495	0.000	1.001	0.000	0.000	0.118	0.966	1.013	1.001
72.000	1.001	1.095	0.000	0.930	0.000	0.000	0.683	0.742	0.848	1.001	0.730	0.000	0.000	1.001	0.000	0.000	0.000	0.683	0.000	0.000	0.789	0.518	1.001	0.612	0.000	0.000	1.001	0.989	0.000	0.683	0.000	0.000	0.024	1.013	1.036	1.001
73.000	0.989	0.871	0.000	0.871	0.000	0.000	0.919	0.848	0.730	0.989	1.013	0.000	0.000	0.989	0.000	0.000	0.000	1.178	0.000	0.000	1.036	0.130	0.989	0.954	0.000	0.000	0.989	1.072	0.059	1.060	0.000	0.000	0.000	0.848	0.942	0.989
74.000	1.001	1.119	0.000	0.871	0.000	0.000	1.001	0.871	1.001	1.001	0.966	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.601	0.659	1.001	1.048	0.000	0.000	1.001	0.919	0.000	1.107	0.000	0.000	0.000	0.883	1.072	1.001
75.000	1.001	0.459	0.000	0.954	0.000	0.000	0.954	0.813	0.353	1.001	0.094	0.000	0.000	1.001	0.035	0.000	0.000	0.000	0.000	0.000	0.565	0.188	1.001	0.919	0.000	0.000	1.001	0.871	0.459	0.966	0.000	0.000	0.000	0.353	0.294	1.001
76.000	1.001	0.165	0.000	0.883	0.000	0.000	1.001	0.883	0.895	1.001	0.000	0.000	0.000	1.001	0.094	0.000	0.000	0.000	0.000	0.000	0.259	0.082	1.001	0.754	0.000	0.000	1.001	0.695	0.565	0.930	0.000	0.000	0.000	1.154	1.366	1.001
77.000	1.001	0.565	0.000	0.954	0.000	0.000	0.942	0.777	0.718	1.001	0.624	0.000	0.389	1.001	0.071	0.000	0.035	0.000	0.000	0.000	0.836	0.765	1.001	0.671	0.000	0.000	1.001	0.777	0.624	0.977	0.000	0.000	0.000	1.119	1.072	1.001
78.000	1.001	0.977	0.000	0.789	0.000	0.000	1.001	0.942	1.036	1.001	0.754	0.000	0.530	1.001	0.000	0.000	0.777	0.000	0.000	0.000	0.801	0.553	1.001	0.707	0.000	0.000	1.001	0.801	0.860	0.942	0.000	0.000	0.000	0.942	0.919	1.001
79.000	1.001	0.989	0.000	0.824	0.000	0.000	0.989	0.659	0.919	1.001	1.013	0.000	0.707	1.001	0.000	0.000	0.565	0.495	0.283	0.000	0.683	0.283	1.001	0.871	0.000	0.000	1.001	0.707	0.000	0.848	0.000	0.000	0.000	0.907	0.860	1.001
80.000	1.001	0.930	0.000	0.813	0.000	0.000	0.966	0.377	0.742	1.001	0.789	0.000	0.777	1.001	0.000	0.000	0.836	0.353	0.495	0.000	0.836	0.848	1.001	0.707	0.000	0.000	1.001	0.848	0.000	1.048	0.000	0.000	0.000	0.601	0.942	1.001
81.000	1.001	0.966	0.000	0.824	0.024	0.000	0.966	0.707	0.813	1.001	0.813	0.000	0.718	1.001	0.000	0.000	0.659	0.365	0.530	0.000	0.789	0.483	1.001	0.636	0.000	0.000	1.001	0.754	0.000	1.001	0.000	0.000	0.000	0.813	0.930	1.001
82.000	1.001	0.695	0.000	0.824	0.082	0.000	0.977	1.331	0.942	1.001	0.930	0.000	0.895	1.001	0.000	0.000	0.495	0.247	0.200	0.000	0.942	0.000	1.001	0.565	0.000	0.000	1.001	0.765	0.000	0.895	0.000	0.000	0.000	1.083	0.942	1.001
83.000	1.001	1.236	0.000	1.119	0.000	0.000	1.001	0.506	0.247	1.001	1.013	0.000	0.801	1.001	0.000	0.000	0.035	0.530	0.848	0.000	0.930	0.495	1.001	0.824	0.000	0.000	1.001	0.789	0.000	0.989	0.000	0.000	0.000	0.742	0.942	1.001
84.000	1.001	1.060	0.000	0.954	0.000	0.000	0.860	0.883	0.000	1.001	0.824	0.000	0.742	1.001	0.000	0.000	0.000	0.000	0.424	0.000	0.813	0.813	1.001	0.824	0.000	0.000	1.001	0.506	0.000	1.001	0.000	0.000	0.000	1.048	1.036	1.001
85.000	0.989	0.671	0.000	0.871	0.000	0.000	1.036	0.518	0.565	0.989	0.977	0.000	0.177	0.989	0.000	0.000	0.000	0.000	0.247	0.000	0.412	1.013	0.989	0.942	0.000	0.000	0.989	0.271	0.000	1.001	0.000	0.000	0.000	0.589	0.671	0.989
86.000	1.001	1.154	0.035	0.624	0.141	0.000	0.954	0.200	1.025	1.001	0.565	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.400	1.001	1.060	0.000	0.000	1.001	0.094	0.000	1.001	0.000	0.000	0.000	1.201	1.119	1.001
87.000	1.001	1.001	0.118	0.836	0.177	0.000	0.954	0.271	0.777	1.001	0.495	0.000	0.636	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.754	1.001	0.200	0.000	0.000	1.001	0.318	0.436	0.930	0.000	0.000	0.377	0.919	1.001	1.001
88.000	1.001	0.683	0.082	0.412	0.224	0.000	0.919	0.530	0.247	1.001	0.141	0.000	0.659	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.742	1.001	0.000	0.000	0.000	1.001	0.495	0.648	0.789	0.000	0.000	0.553	0.860	0.977	1.001
