Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.469s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2
60	15.8	15.2
61	714.72	884.96
62	747.36	843.2
63	888.48	837.44
64	997.44	688.32
65	687.2	646.88
66	841.76	947.52
67	477.6	561.76
68	713.44	681.12
69	720.16	798.88
70	855.52	825.28
71	854.72	1211.04
72	867.52	897.6
73	685.92	667.36
74	841.44	689.28
75	566.4	755.04
76	760.16	674.08
77	460.32	772
78	921.44	928.48
79	802.56	604
80	586.56	660.64
81	632	590.24
82	481.6	638.4
83	645.28	948
84	780.8	994.88
85	733.12	733.6
86	965.92	599.2
87	661.76	883.52
88	878.56	703.84
89	612.8	834.56
90	651.84	583.52
91	921.76	849.12
92	443.04	740.16
93	793.76	857.92
94	507.52	804.64
95	766.4	559.68
96	784.8	953.6
97	683.2	744.64
98	552.16	700.64
99	672.8	678.4
100	521.28	826.08
101	785.12	703.04
102	902.4	707.2
103	677.76	886.88
104	838.08	905.44
105	987.68	879.2
106	868.16	580.64
107	805.6	669.76
108	795.52	819.2
109	675.68	813.6
110	619.84	605.12
111	778.4	648
112	838.72	635.52
113	873.44	665.28
114	669.76	893.76
115	601.12	685.44
116	797.92	695.2
117	667.52	387.68
118	810.72	627.2
119	666.24	953.92
120	821.92	720.96
avg	736.045	754.709
delay	0.864659	0.892738
loss	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile2.txt', '--routingFile=locationtxt/routingFile2.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs4', '--datarate=15e5', '--packetSize=2e2', '--tcp=0', '--RngRun=1'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
