Dst	Src	HeMcs	Txlevel	Num	isObss
4 	  3	  4	  10	  9	  0
3 	  4	  4	  10	  2210	  0
3 	  2	  4	  10	  10	  0
2 	  3	  4	  10	  1648	  0
2 	  1	  4	  10	  10	  0
1 	  2	  4	  10	  1687	  0
12 	  11	  4	  10	  10	  0
11 	  12	  4	  10	  2283	  0
11 	  10	  4	  10	  10	  0
10 	  11	  4	  10	  1716	  0
10 	  9	  4	  10	  9	  0
9 	  10	  4	  10	  1675	  0
16 	  15	  4	  10	  9	  0
15 	  16	  4	  10	  2397	  0
15 	  14	  4	  10	  10	  0
14 	  15	  4	  10	  1784	  0
14 	  13	  4	  10	  34	  0
13 	  14	  4	  10	  1902	  0
8 	  7	  4	  10	  9	  0
7 	  8	  4	  10	  2392	  0
7 	  6	  4	  10	  9	  0
6 	  7	  4	  10	  1836	  0
6 	  5	  4	  10	  9	  0
5 	  6	  4	  10	  2124	  0
11 	  12	  0	  10	  47	  1
11 	  12	  1	  10	  16	  1
7 	  8	  0	  10	  5	  1
3 	  4	  0	  10	  25	  1
15 	  16	  0	  10	  21	  1
15 	  16	  1	  10	  10	  1
14 	  15	  1	  4	  8	  1
5 	  6	  1	  4	  12	  1
14 	  15	  1	  10	  4	  1
2 	  3	  1	  4	  9	  1
2 	  3	  1	  10	  2	  1
6 	  7	  1	  4	  5	  1
6 	  7	  1	  10	  6	  1
9 	  10	  1	  4	  9	  1
1 	  2	  1	  4	  4	  1
7 	  8	  1	  10	  24	  1

 TotalTx Number= 24000

 TotalReset Number= 6841
