Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.372s)
CreateVariables () DONE !!!
Creating 9 APs 35.00 and 35.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
11.00	-1.00	-1.00	1.24	-1.00	-1.00	0.00	-1.00	-1.00	3.42
12.00	-1.00	-1.00	1.30	-1.00	-1.00	1.00	-1.00	-1.00	1.53
13.00	-1.00	-1.00	3.77	-1.00	-1.00	3.89	-1.00	-1.00	5.42
14.00	-1.00	-1.00	1.53	-1.00	-1.00	1.41	-1.00	-1.00	0.24
15.00	-1.00	-1.00	1.65	-1.00	-1.00	2.36	-1.00	-1.00	3.53
16.00	-1.00	-1.00	1.53	-1.00	-1.00	2.53	-1.00	-1.00	3.94
17.00	-1.00	-1.00	1.00	-1.00	-1.00	2.83	-1.00	-1.00	0.59
18.00	-1.00	-1.00	4.47	-1.00	-1.00	2.47	-1.00	-1.00	0.88
19.00	-1.00	-1.00	2.06	-1.00	-1.00	1.24	-1.00	-1.00	4.59
20.00	-1.00	-1.00	3.06	-1.00	-1.00	2.89	-1.00	-1.00	0.18
21.00	-1.00	-1.00	2.65	-1.00	-1.00	1.06	-1.00	-1.00	0.47
22.00	-1.00	-1.00	2.89	-1.00	-1.00	2.77	-1.00	-1.00	3.47
23.00	-1.00	-1.00	2.24	-1.00	-1.00	3.00	-1.00	-1.00	2.12
24.00	-1.00	-1.00	0.53	-1.00	-1.00	0.59	-1.00	-1.00	1.41
25.00	-1.00	-1.00	1.65	-1.00	-1.00	2.94	-1.00	-1.00	1.65
26.00	-1.00	-1.00	2.36	-1.00	-1.00	3.36	-1.00	-1.00	2.65
27.00	-1.00	-1.00	4.36	-1.00	-1.00	2.00	-1.00	-1.00	4.24
28.00	-1.00	-1.00	1.94	-1.00	-1.00	2.30	-1.00	-1.00	2.53
29.00	-1.00	-1.00	1.83	-1.00	-1.00	2.53	-1.00	-1.00	3.65
30.00	-1.00	-1.00	3.94	-1.00	-1.00	4.24	-1.00	-1.00	2.12
31.00	-1.00	-1.00	3.00	-1.00	-1.00	1.53	-1.00	-1.00	2.83
32.00	-1.00	-1.00	3.89	-1.00	-1.00	2.24	-1.00	-1.00	3.30
33.00	-1.00	-1.00	1.65	-1.00	-1.00	3.94	-1.00	-1.00	1.71
34.00	-1.00	-1.00	4.06	-1.00	-1.00	2.12	-1.00	-1.00	2.53
35.00	-1.00	-1.00	1.06	-1.00	-1.00	3.53	-1.00	-1.00	0.24
36.00	-1.00	-1.00	1.12	-1.00	-1.00	2.12	-1.00	-1.00	3.00
37.00	-1.00	-1.00	3.59	-1.00	-1.00	4.00	-1.00	-1.00	2.53
38.00	-1.00	-1.00	3.53	-1.00	-1.00	3.00	-1.00	-1.00	3.83
39.00	-1.00	-1.00	1.00	-1.00	-1.00	4.36	-1.00	-1.00	2.47
40.00	-1.00	-1.00	4.24	-1.00	-1.00	3.77	-1.00	-1.00	1.12
41.00	-1.00	-1.00	3.00	-1.00	-1.00	0.65	-1.00	-1.00	1.88
42.00	-1.00	-1.00	2.89	-1.00	-1.00	0.35	-1.00	-1.00	3.18
43.00	-1.00	-1.00	0.94	-1.00	-1.00	2.89	-1.00	-1.00	3.83
44.00	-1.00	-1.00	4.83	-1.00	-1.00	3.53	-1.00	-1.00	3.12
45.00	-1.00	-1.00	1.59	-1.00	-1.00	1.35	-1.00	-1.00	1.47
46.00	-1.00	-1.00	2.36	-1.00	-1.00	2.12	-1.00	-1.00	4.00
47.00	-1.00	-1.00	2.59	-1.00	-1.00	2.06	-1.00	-1.00	1.06
48.00	-1.00	-1.00	3.36	-1.00	-1.00	0.94	-1.00	-1.00	4.71
49.00	-1.00	-1.00	3.24	-1.00	-1.00	1.53	-1.00	-1.00	1.35
