Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.725s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12
60	15.6	12.8	14.8	13	14	14	14.2	16.4	14.6	18.4	12.6	15.6
61	876.8	873.6	691.2	720	502.4	992	729.6	579.2	880	704	732.8	598.4
62	742.4	771.2	796.8	950.4	473.6	860.8	777.6	707.2	720	691.2	953.6	880
63	636.8	921.6	736	739.2	825.6	844.8	867.2	806.4	832	988.8	816	1107.2
64	828.8	876.8	905.6	972.8	841.6	953.6	1084.8	1062.4	585.6	860.8	931.2	931.2
65	592	726.4	1011.2	809.6	572.8	883.2	729.6	979.2	668.8	764.8	918.4	883.2
66	806.4	844.8	857.6	780.8	998.4	956.8	713.6	1116.8	902.4	1084.8	979.2	816
67	694.4	777.6	800	790.4	857.6	812.8	761.6	908.8	1177.6	934.4	908.8	860.8
68	950.4	892.8	694.4	656	1158.4	707.2	764.8	915.2	691.2	828.8	752	806.4
69	864	972.8	835.2	672	1033.6	704	832	697.6	816	972.8	851.2	800
70	1088	483.2	707.2	1030.4	713.6	784	940.8	825.6	835.2	649.6	720	988.8
71	896	739.2	764.8	960	915.2	873.6	716.8	940.8	860.8	806.4	784	1020.8
72	531.2	688	684.8	905.6	825.6	672	956.8	716.8	668.8	796.8	972.8	876.8
73	716.8	640	899.2	995.2	755.2	633.6	755.2	736	640	892.8	560	816
74	921.6	761.6	1068.8	816	844.8	793.6	880	1072	700.8	691.2	636.8	844.8
75	803.2	649.6	828.8	822.4	960	931.2	908.8	627.2	800	784	803.2	793.6
76	854.4	608	572.8	742.4	944	832	844.8	854.4	748.8	931.2	873.6	768
77	1068.8	668.8	736	854.4	924.8	912	864	752	739.2	803.2	918.4	992
78	883.2	931.2	1020.8	582.4	956.8	1011.2	659.2	844.8	774.4	969.6	832	928
79	912	761.6	857.6	902.4	860.8	880	1020.8	777.6	873.6	752	576	723.2
80	972.8	665.6	691.2	777.6	969.6	972.8	428.8	755.2	681.6	656	889.6	918.4
81	665.6	1107.2	611.2	633.6	876.8	780.8	636.8	742.4	620.8	611.2	816	1152
82	822.4	883.2	902.4	825.6	832	1129.6	793.6	611.2	643.2	624	742.4	883.2
83	969.6	841.6	771.2	966.4	832	745.6	1036.8	736	1001.6	841.6	822.4	928
84	726.4	800	985.6	992	953.6	697.6	851.2	800	806.4	1027.2	940.8	864
85	803.2	918.4	732.8	972.8	902.4	553.6	812.8	851.2	876.8	528	892.8	713.6
86	1004.8	694.4	860.8	745.6	969.6	1072	921.6	764.8	953.6	732.8	675.2	844.8
87	1004.8	1033.6	476.8	531.2	710.4	518.4	819.2	809.6	732.8	809.6	784	870.4
88	803.2	812.8	854.4	790.4	732.8	873.6	864	649.6	809.6	672	662.4	892.8
89	1126.4	534.4	908.8	848	755.2	1078.4	1148.8	793.6	835.2	780.8	697.6	1145.6
90	848	876.8	982.4	643.2	822.4	1043.2	1014.4	969.6	915.2	745.6	1004.8	1097.6
avg	847.147	791.893	808.213	814.293	844.053	850.133	837.867	813.44	793.067	797.867	814.933	891.52
delay	2.93008	3.53917	2.93017	2.8377	3.79688	3.70353	3.54103	3.49246	3.8811	3.73973	4.22065	3.58396
loss	0	0	0	0	0	0	0	0	0	0	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs5', '--datarate=20e6', '--ratio=0.375', '--RngRun=18', '--locationFile=locationtxt/locationFile42d.txt', '--routingFile=locationtxt/routingFile42.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
