Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.410s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
87.000	1.001	0.000	0.000	0.000	0.765	0.989	0.000	0.000	0.424	0.106	0.000	0.000	0.118	0.000	0.000	0.000
88.000	1.001	0.824	0.447	0.000	0.789	0.165	0.012	0.035	0.318	0.000	0.000	0.000	0.000	0.000	0.000	0.000
89.000	1.001	0.601	1.048	0.000	0.483	0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
90.000	1.001	0.848	0.035	0.000	1.107	0.801	0.082	0.000	0.895	0.035	0.000	0.000	0.000	0.000	0.000	0.000
91.000	1.001	1.048	0.624	0.000	1.001	0.000	0.247	0.000	0.153	0.024	0.000	0.000	0.024	0.141	0.000	0.000
92.000	1.001	1.083	1.095	0.047	0.342	0.966	0.495	0.035	0.141	0.000	0.000	0.024	0.000	0.000	0.000	0.000
93.000	1.001	0.730	0.200	0.000	1.472	0.141	0.000	0.000	1.036	0.059	0.000	0.024	0.012	0.000	0.000	0.000
94.000	1.001	0.883	0.518	0.000	0.977	0.718	0.130	0.000	0.212	0.177	0.000	0.000	0.165	0.071	0.000	0.000
95.000	1.001	0.860	0.695	0.000	0.742	0.612	0.000	0.000	0.883	0.000	0.000	0.000	0.071	0.000	0.000	0.000
96.000	1.001	0.977	0.459	0.000	0.777	0.518	0.024	0.000	0.082	0.000	0.000	0.000	0.141	0.000	0.000	0.000
97.000	0.989	0.683	0.106	0.059	1.001	0.400	0.000	0.000	0.730	0.118	0.000	0.000	0.012	0.000	0.000	0.000
98.000	1.001	1.154	0.330	0.000	1.013	0.377	0.000	0.000	0.495	0.000	0.000	0.000	0.000	0.000	0.000	0.000
99.000	1.001	0.671	0.271	0.000	0.977	0.271	0.059	0.000	0.683	0.000	0.000	0.000	0.035	0.130	0.000	0.000
100.000	1.001	1.072	0.506	0.141	0.989	0.883	0.000	0.188	0.318	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101.000	1.001	0.789	0.412	0.000	0.907	0.412	0.012	0.000	0.506	0.106	0.000	0.000	0.000	0.000	0.000	0.000
102.000	1.001	1.119	0.483	0.035	0.683	0.283	0.177	0.000	0.000	0.094	0.000	0.000	0.000	0.000	0.000	0.000
103.000	1.001	0.153	0.000	0.000	0.742	0.836	0.000	0.000	0.247	0.000	0.000	0.000	0.000	0.000	0.000	0.000
104.000	1.001	1.519	0.188	0.012	1.284	0.871	0.000	0.000	0.377	0.047	0.000	0.000	0.118	0.000	0.000	0.000
105.000	1.001	1.107	0.000	0.000	0.907	0.848	0.024	0.012	0.106	0.294	0.012	0.012	0.000	0.000	0.000	0.000
106.000	1.001	0.942	0.259	0.000	1.001	0.153	0.000	0.000	0.695	0.000	0.000	0.000	0.012	0.082	0.000	0.000
107.000	1.001	0.836	0.224	0.000	0.789	0.907	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
108.000	1.001	0.742	0.047	0.071	0.836	0.294	0.000	0.000	0.483	0.188	0.000	0.000	0.000	0.000	0.000	0.000
109.000	1.001	1.225	0.082	0.000	1.342	0.565	0.012	0.000	0.871	0.047	0.059	0.000	0.000	0.000	0.000	0.000
110.000	0.989	0.553	0.436	0.000	0.801	0.648	0.035	0.000	0.165	0.071	0.035	0.000	0.000	0.000	0.000	0.000
111.000	1.001	0.836	0.624	0.000	0.789	0.601	0.012	0.000	0.624	0.130	0.059	0.000	0.236	0.000	0.000	0.000
112.000	1.001	1.401	0.165	0.000	1.166	0.636	0.000	0.000	0.377	0.047	0.024	0.000	0.424	0.141	0.000	0.000
113.000	1.001	0.659	0.447	0.000	0.518	0.247	0.000	0.000	0.483	0.000	0.000	0.000	0.000	0.000	0.000	0.000
114.000	1.001	1.119	1.013	0.024	0.000	0.860	0.365	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
115.000	1.001	0.730	0.177	0.000	1.119	0.177	0.082	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.024	0.000
116.000	1.001	1.248	1.130	0.177	0.530	0.483	0.000	0.059	0.836	0.000	0.000	0.000	0.000	0.000	0.000	0.000
117.000	1.001	0.471	0.035	0.012	0.789	0.247	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000
118.000	1.001	1.119	0.177	0.071	1.083	0.024	0.000	0.000	0.224	0.012	0.000	0.000	0.000	0.000	0.000	0.000
119.000	1.001	1.036	0.153	0.000	0.942	0.059	0.000	0.000	0.695	0.000	0.000	0.000	0.000	0.000	0.000	0.000
120.000	1.001	0.765	0.365	0.153	0.707	0.024	0.000	0.000	0.342	0.035	0.000	0.000	0.000	0.000	0.000	0.000
