Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.607s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
61.000	0.989	0.989	0.871	0.389	0.000	0.977	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.624	0.000	0.000	0.000	0.188	0.907	0.777	0.000	0.000	0.565	0.919	0.989
62.000	1.001	0.989	1.025	0.212	0.000	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.765	0.000	0.000	0.000	0.730	0.789	0.671	0.000	0.000	0.153	0.871	1.001
63.000	1.001	1.013	0.765	0.695	0.000	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.542	0.000	0.000	0.000	0.483	0.966	0.860	0.000	0.000	0.707	0.942	1.001
64.000	1.001	1.001	1.083	0.836	0.000	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.518	0.000	0.000	0.000	0.895	0.871	1.083	0.000	0.000	0.601	0.860	1.001
65.000	1.001	0.966	0.919	0.989	0.000	0.895	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.177	0.000	0.000	0.000	0.200	0.424	0.483	0.000	0.000	0.447	1.130	1.001
66.000	1.001	1.013	0.977	0.895	0.000	0.942	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.683	1.001
67.000	1.001	0.966	1.025	0.271	0.553	0.989	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.836	0.000	0.000	0.000	0.059	0.907	0.860	0.000	0.000	0.659	1.189	1.001
68.000	1.001	1.001	0.977	0.000	0.000	1.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.671	0.000	0.000	0.000	0.000	1.013	0.836	0.000	0.000	1.189	1.013	1.001
69.000	1.001	0.895	0.377	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.330	0.000	0.000	0.000	0.106	0.648	0.942	0.000	0.000	0.813	0.836	1.001
70.000	1.001	1.095	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.518	0.000	0.000	0.000	0.612	0.813	1.013	0.000	0.000	0.813	1.013	1.001
71.000	1.001	1.013	0.000	0.000	0.000	0.930	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.636	1.013	0.907	0.000	0.000	0.789	0.942	1.001
72.000	1.001	0.989	0.000	0.000	0.000	0.930	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.777	0.907	0.000	0.000	0.777	0.930	1.001
73.000	0.989	1.001	0.659	0.000	0.000	1.107	0.000	0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.542	0.612	0.000	0.000	0.824	1.013	0.989
74.000	1.001	1.001	1.025	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.013	0.954	0.000	0.000	1.036	1.013	1.001
75.000	1.001	1.001	0.047	0.000	0.000	0.966	0.177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.824	1.178	0.000	0.000	0.836	1.001	1.001
76.000	1.001	0.989	0.000	0.000	0.000	1.025	0.424	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.860	1.001	0.000	0.000	0.966	0.966	1.001
77.000	1.001	0.977	0.565	0.000	0.000	1.001	0.365	0.483	0.000	0.000	0.000	0.000	0.271	0.000	0.000	0.000	0.000	0.000	0.106	1.001	0.000	0.000	0.224	0.954	1.001
78.000	1.001	0.977	0.966	0.000	0.000	0.942	0.000	1.001	0.000	0.000	0.000	0.000	0.954	0.000	0.000	0.000	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	1.001
79.000	1.001	0.754	0.565	0.389	0.000	1.013	0.000	0.459	0.000	0.000	0.000	0.000	0.188	0.000	0.000	0.000	0.000	0.000	0.000	0.424	0.000	0.000	0.000	0.000	1.001
80.000	1.001	1.178	0.954	0.636	0.000	0.848	0.000	1.036	0.000	0.000	0.000	0.000	0.765	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.001
81.000	1.001	0.047	0.118	0.188	0.000	0.718	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.907	0.000	0.000	0.000	0.000	1.001
82.000	1.001	0.000	0.000	0.000	0.000	1.154	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.989	0.000	0.000	0.000	0.000	1.001
83.000	1.001	0.824	0.035	0.000	0.000	0.966	0.871	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.013	0.000	0.000	0.000	0.000	1.001
84.000	1.001	0.977	0.000	0.000	0.000	1.001	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.989	0.000	0.000	0.000	0.000	1.001
85.000	0.989	1.025	0.601	0.000	0.000	1.001	0.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.954	0.000	0.000	0.000	0.000	0.989
86.000	1.001	1.001	0.813	0.271	0.153	1.001	0.000	0.000	0.165	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.024	0.012	0.989	0.000	0.000	0.000	0.000	1.001
87.000	1.001	0.895	0.636	0.636	0.707	0.966	0.000	0.000	0.306	0.000	0.000	0.000	0.000	0.506	0.000	0.000	0.000	0.848	1.013	1.001	0.000	0.000	0.000	0.000	1.001
88.000	1.001	0.930	0.989	0.777	0.824	1.001	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.895	0.000	0.000	0.000	0.895	0.977	1.001	0.000	0.000	0.000	0.000	1.001
89.000	1.001	0.966	0.542	0.353	0.294	0.400	0.000	0.000	0.236	0.000	0.000	0.000	0.000	0.695	0.000	0.000	0.000	0.695	0.930	0.966	0.000	0.000	0.000	0.000	1.001
90.000	1.001	0.624	0.459	0.365	0.271	0.000	0.000	0.000	0.318	0.000	0.000	0.000	0.000	0.483	0.000	0.000	0.000	1.072	1.036	1.036	0.000	0.000	0.000	0.000	1.001
91.000	1.001	1.083	0.695	0.236	0.188	0.565	0.000	0.000	0.271	0.000	0.000	0.000	0.000	0.565	0.000	0.000	0.000	0.553	0.836	0.836	0.000	0.000	0.000	0.000	1.001
92.000	1.001	0.860	0.553	0.236	0.177	0.907	0.000	0.000	0.342	0.000	0.000	0.000	0.000	1.236	0.000	0.000	0.000	0.365	1.072	1.072	0.000	0.000	0.000	0.000	1.001
93.000	1.001	1.060	0.907	0.271	0.424	0.730	0.177	0.165	0.082	0.000	0.000	0.000	0.000	0.353	0.000	0.000	0.000	1.507	0.718	1.025	0.000	0.000	0.000	0.000	1.001
94.000	1.001	1.001	0.306	0.283	0.247	1.107	1.036	0.659	0.200	0.000	0.000	0.000	0.000	0.506	0.000	0.000	0.000	0.942	1.013	0.989	0.000	0.000	0.000	0.000	1.001
95.000	1.001	0.824	0.636	0.518	0.471	0.977	0.648	0.424	0.024	0.000	0.000	0.000	0.000	0.518	0.000	0.000	0.000	0.553	0.612	0.742	0.000	0.000	0.000	0.000	1.001
96.000	1.001	0.989	0.612	0.330	0.495	0.919	0.683	0.400	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.518	0.601	0.895	0.000	0.000	0.000	0.000	1.001
97.000	0.989	0.930	0.707	0.212	0.259	1.001	1.178	0.000	0.236	0.000	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.000	1.025	1.072	0.000	0.000	0.000	0.000	0.989
98.000	1.001	1.001	1.013	0.000	0.000	1.001	0.989	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.977	1.001	0.000	0.000	0.000	0.000	1.001
99.000	1.001	1.001	0.989	0.000	0.000	1.001	0.919	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.506	0.989	0.989	0.000	0.000	0.000	0.000	1.001
100.000	1.001	1.001	1.025	0.000	0.000	1.001	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.942	1.001	0.977	0.000	0.000	0.000	0.000	1.001
