Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.486s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
61.000	0.989	0.824	0.848	0.989	0.000	0.919	0.000	0.000	0.989
62.000	1.001	1.048	1.013	1.001	0.000	1.036	0.000	0.000	1.001
63.000	1.001	1.036	0.966	1.001	0.000	0.954	0.000	0.000	1.001
64.000	1.001	1.025	1.036	1.001	0.000	1.025	0.000	0.000	1.001
65.000	1.001	0.153	0.989	1.001	0.000	1.001	0.000	0.000	1.001
66.000	1.001	0.000	0.954	0.989	0.000	0.942	0.000	0.000	1.001
67.000	1.001	0.000	0.977	0.930	0.000	1.001	0.000	0.000	1.001
68.000	1.001	0.000	1.083	0.919	0.000	1.048	0.000	0.000	1.001
69.000	1.001	0.000	0.989	1.072	0.000	1.001	0.000	0.000	1.001
70.000	1.001	0.000	0.989	1.001	0.000	1.001	0.000	0.000	1.001
71.000	1.001	0.742	0.942	1.013	0.000	0.954	0.000	0.000	1.001
72.000	1.001	1.036	1.036	0.989	0.000	1.036	0.000	0.000	1.001
73.000	0.989	1.013	1.013	0.942	0.000	0.989	0.000	0.000	0.989
74.000	1.001	0.942	0.966	1.060	0.000	0.977	0.000	0.000	1.001
75.000	1.001	0.966	0.989	0.977	0.000	1.048	0.000	0.000	1.001
76.000	1.001	0.895	1.025	1.025	0.283	1.001	0.059	0.024	1.001
77.000	1.001	0.707	0.059	0.871	0.000	0.012	0.000	0.000	1.001
78.000	1.001	1.001	0.000	1.130	0.000	0.000	0.000	0.000	1.001
79.000	1.001	0.942	0.565	0.989	0.071	0.589	0.589	0.200	1.001
80.000	1.001	1.025	0.824	1.001	0.648	0.860	1.060	0.707	1.001
81.000	1.001	0.989	0.966	0.871	0.130	1.001	0.860	0.742	1.001
82.000	1.001	0.989	0.954	1.025	0.071	0.907	0.801	0.718	1.001
83.000	1.001	0.895	1.072	0.989	0.565	1.154	0.930	1.083	1.001
84.000	1.001	0.919	0.742	1.001	0.659	0.765	1.166	0.989	1.001
85.000	0.989	0.989	0.930	0.883	0.824	0.966	0.836	0.400	0.989
86.000	1.001	1.025	1.001	1.119	0.907	1.001	1.048	0.000	1.001
87.000	1.001	0.989	0.930	0.353	0.330	0.942	0.318	0.000	1.001
88.000	1.001	1.013	1.083	0.000	0.000	1.083	0.000	0.000	1.001
89.000	1.001	0.989	0.966	0.695	0.000	0.977	0.000	0.000	1.001
90.000	1.001	1.013	1.025	1.001	0.000	1.025	0.000	0.000	1.001
91.000	1.001	0.989	0.954	1.025	0.000	0.930	0.000	0.000	1.001
92.000	1.001	0.989	1.001	0.989	0.000	1.060	0.000	0.000	1.001
93.000	1.001	0.954	1.001	1.013	0.754	0.989	0.000	0.000	1.001
94.000	1.001	1.060	0.966	0.989	1.142	0.977	0.000	0.000	1.001
95.000	1.001	0.824	0.848	1.013	0.754	0.860	0.212	0.353	1.001
96.000	1.001	0.707	0.707	0.648	0.683	0.824	0.483	0.730	1.001
97.000	0.989	0.989	0.342	1.272	1.048	1.119	0.789	0.094	0.989
98.000	1.001	1.013	0.000	1.001	1.013	1.001	1.013	0.000	1.001
99.000	1.001	1.001	0.000	1.001	1.001	1.001	0.989	0.000	1.001
100.000	1.001	1.001	0.000	1.001	1.001	0.989	0.989	0.000	1.001
101.000	1.001	0.919	0.400	0.565	0.813	1.001	0.447	0.000	1.001
102.000	1.001	1.036	1.060	0.659	0.707	0.883	0.000	0.000	1.001
103.000	1.001	1.001	1.001	1.001	1.142	1.013	0.000	0.000	1.001
104.000	1.001	0.930	0.895	1.013	0.942	1.001	0.000	0.000	1.001
105.000	1.001	0.989	1.025	0.989	1.072	1.013	0.000	0.000	1.001
106.000	1.001	1.048	1.072	0.730	0.942	0.989	0.000	0.000	1.001
107.000	1.001	0.730	0.989	1.083	1.025	1.001	0.000	0.000	1.001
108.000	1.001	0.813	0.919	0.860	0.942	0.907	0.000	0.000	1.001
109.000	1.001	0.977	1.001	1.142	1.048	1.060	0.000	0.000	0.989
110.000	0.989	0.589	1.025	1.001	0.954	0.989	0.000	0.000	1.001
111.000	1.001	1.013	1.060	0.989	1.072	1.036	0.000	0.059	1.001
112.000	1.001	1.048	0.989	1.013	1.013	1.013	0.000	0.000	1.001
113.000	1.001	1.025	0.954	0.977	0.860	0.919	0.000	0.000	1.001
114.000	1.001	0.330	1.060	1.025	1.083	1.060	0.000	0.000	1.001
115.000	1.001	1.437	0.989	0.977	0.977	0.989	0.000	0.000	1.001
116.000	1.001	1.048	0.966	0.942	1.001	0.977	0.000	0.000	1.001
117.000	1.001	1.013	1.001	1.025	0.553	1.013	0.000	0.000	1.001
118.000	1.001	1.001	1.025	0.977	0.000	1.001	0.000	0.000	1.001
119.000	1.001	1.001	0.966	1.001	0.000	0.966	0.000	0.000	1.001
120.000	1.001	0.883	1.036	1.036	0.000	1.036	0.000	0.000	1.001
