Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.404s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
75.000	1.001	0.860	0.071	0.000	0.930	0.224	0.259	0.000	0.012	0.259	0.000	0.000	0.000	0.000	0.000	0.000
76.000	1.001	1.554	0.624	0.000	0.589	0.059	0.612	0.000	0.071	0.000	0.000	0.000	0.094	0.000	0.000	0.000
77.000	1.001	0.589	0.294	0.000	1.142	0.000	0.130	0.000	1.001	0.000	0.000	0.000	0.212	0.000	0.000	0.000
78.000	1.001	0.530	0.447	0.000	1.142	0.283	0.200	0.000	0.047	0.188	0.000	0.000	0.153	0.000	0.000	0.000
79.000	1.001	0.718	0.530	0.000	1.072	0.919	0.000	0.000	0.977	0.000	0.000	0.000	0.165	0.059	0.000	0.000
80.000	1.001	1.001	0.224	0.000	0.824	0.919	0.000	0.000	0.188	0.024	0.000	0.000	0.000	0.000	0.000	0.000
81.000	1.001	1.095	0.966	0.000	0.636	0.247	0.247	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
82.000	1.001	0.612	0.530	0.000	0.271	0.259	0.012	0.000	0.919	0.000	0.000	0.000	0.000	0.000	0.000	0.000
83.000	1.001	0.612	0.047	0.000	1.225	0.542	0.035	0.000	0.977	0.000	0.000	0.000	0.047	0.024	0.012	0.000
84.000	1.001	0.389	0.447	0.000	0.553	0.035	0.012	0.000	0.777	0.153	0.000	0.000	0.082	0.000	0.000	0.000
85.000	0.989	1.048	0.165	0.000	1.048	0.365	0.024	0.000	0.836	0.471	0.000	0.000	0.000	0.000	0.000	0.000
86.000	1.001	0.742	0.000	0.000	0.765	1.166	0.000	0.000	0.789	0.024	0.024	0.000	0.177	0.000	0.000	0.000
87.000	1.001	0.648	0.071	0.000	0.424	0.283	0.000	0.000	0.754	0.177	0.000	0.000	0.000	0.000	0.000	0.000
88.000	1.001	0.342	0.224	0.000	0.707	0.094	0.024	0.000	0.294	0.294	0.000	0.000	0.082	0.059	0.000	0.000
89.000	1.001	1.013	0.412	0.000	1.166	0.306	0.330	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000
90.000	1.001	1.225	0.377	0.165	0.648	0.365	0.436	0.035	0.000	0.082	0.000	0.000	0.000	0.000	0.000	0.000
91.000	1.001	0.883	0.447	0.000	1.095	0.801	0.412	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
92.000	1.001	0.389	0.306	0.000	0.495	0.671	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
93.000	1.001	0.400	0.247	0.000	1.401	0.259	0.153	0.000	0.389	0.059	0.000	0.000	0.000	0.000	0.000	0.000
94.000	1.001	1.178	0.412	0.000	0.671	0.200	0.165	0.000	0.059	0.071	0.000	0.000	0.012	0.059	0.000	0.000
95.000	1.001	0.907	0.153	0.000	0.353	0.342	0.047	0.035	0.106	0.177	0.000	0.000	0.035	0.094	0.000	0.000
96.000	1.001	0.754	0.153	0.000	1.342	0.224	0.130	0.000	0.094	0.000	0.000	0.024	0.071	0.224	0.000	0.000
97.000	0.989	1.048	0.483	0.000	1.001	0.236	0.424	0.000	0.165	0.012	0.000	0.000	0.000	0.000	0.000	0.000
98.000	1.001	0.919	0.224	0.000	0.895	0.224	0.059	0.000	0.047	0.153	0.000	0.000	0.000	0.000	0.000	0.000
99.000	1.001	0.860	0.224	0.000	0.895	0.035	0.000	0.000	0.283	0.318	0.000	0.000	0.024	0.000	0.000	0.000
100.000	1.001	0.836	0.306	0.000	0.883	0.024	0.012	0.000	0.118	0.000	0.000	0.000	0.377	0.000	0.000	0.000
101.000	1.001	1.060	0.342	0.000	0.801	0.000	0.012	0.000	0.860	0.000	0.000	0.000	0.000	0.000	0.000	0.000
102.000	1.001	0.895	0.495	0.000	0.742	0.236	0.000	0.000	0.177	0.082	0.000	0.000	0.000	0.000	0.000	0.000
103.000	1.001	1.319	0.059	0.000	0.977	0.601	0.059	0.000	0.153	0.012	0.000	0.000	0.118	0.071	0.000	0.000
104.000	1.001	0.648	0.059	0.000	1.236	0.565	0.495	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
105.000	1.001	1.048	0.283	0.447	0.648	0.247	0.000	0.000	0.871	0.094	0.000	0.000	0.000	0.000	0.000	0.000
106.000	1.001	0.836	0.330	0.024	0.966	0.342	0.035	0.000	0.094	0.365	0.012	0.000	0.000	0.000	0.000	0.000
107.000	1.001	1.213	0.412	0.000	1.107	0.813	0.200	0.000	0.000	0.000	0.012	0.082	0.000	0.000	0.000	0.000
108.000	1.001	0.789	0.848	0.000	0.659	0.954	0.047	0.000	0.659	0.130	0.000	0.000	0.000	0.000	0.000	0.000
109.000	1.001	0.648	0.106	0.047	1.496	0.118	0.094	0.059	0.200	0.624	0.000	0.000	0.330	0.000	0.000	0.000
110.000	0.989	1.166	0.118	0.000	0.224	0.212	0.000	0.000	0.012	0.047	0.000	0.000	0.012	0.082	0.000	0.000
111.000	1.001	0.930	0.130	0.259	1.083	0.047	0.059	0.000	0.059	0.071	0.000	0.000	0.047	0.000	0.000	0.000
112.000	1.001	0.377	1.025	0.000	0.671	0.024	0.000	0.000	0.130	0.165	0.000	0.000	0.236	0.000	0.000	0.000
113.000	1.001	1.154	0.200	0.000	0.871	0.024	0.000	0.000	0.224	0.035	0.000	0.000	0.059	0.000	0.000	0.000
114.000	1.001	0.848	0.330	0.012	1.095	0.059	0.000	0.000	0.177	0.141	0.000	0.000	0.035	0.000	0.000	0.000
115.000	1.001	0.895	0.518	0.000	0.707	0.483	0.130	0.000	0.035	0.047	0.000	0.000	0.082	0.000	0.000	0.000
116.000	1.001	1.189	0.188	0.000	0.789	0.754	0.177	0.000	0.177	0.000	0.012	0.024	0.071	0.035	0.106	0.000
117.000	1.001	0.813	0.118	0.000	0.895	0.848	0.000	0.000	0.671	0.000	0.000	0.000	0.000	0.000	0.000	0.000
118.000	1.001	0.636	0.024	0.000	1.295	0.412	0.094	0.000	0.212	0.082	0.000	0.000	0.071	0.283	0.000	0.000
119.000	1.001	0.259	0.754	0.000	0.742	0.895	0.012	0.000	0.365	0.118	0.000	0.000	0.071	0.000	0.000	0.000
120.000	1.001	1.260	0.141	0.000	0.530	0.389	0.000	0.000	0.035	0.742	0.000	0.000	0.177	0.024	0.000	0.000
