Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.421s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
61.000	0.989	0.930	0.459	0.000	0.000	0.612	0.483	0.188	0.000	0.000	0.177	0.024	0.000	0.000	0.000	0.024	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
62.000	1.001	0.860	0.035	0.000	0.000	1.166	0.224	0.000	0.000	0.000	0.977	0.035	0.000	0.000	0.000	0.071	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
63.000	1.001	0.919	0.813	0.000	0.000	0.966	0.200	0.000	0.000	0.000	0.389	0.130	0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
64.000	1.001	1.225	0.000	0.000	0.000	0.801	1.142	0.000	0.000	0.000	0.024	0.141	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
65.000	1.001	0.047	0.118	0.000	0.000	0.789	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
66.000	1.001	0.436	0.377	0.283	0.000	1.307	0.577	0.000	0.000	0.000	0.589	0.000	0.000	0.000	0.000	0.012	0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
67.000	1.001	0.000	0.000	0.000	0.000	0.977	0.612	0.000	0.000	0.000	0.259	0.000	0.000	0.000	0.000	0.247	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
68.000	1.001	0.000	0.000	0.000	0.000	0.577	0.094	0.000	0.000	0.000	0.789	0.000	0.000	0.000	0.000	0.389	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69.000	1.001	0.000	0.000	0.000	0.000	1.119	0.035	0.000	0.000	0.000	0.035	0.130	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
70.000	1.001	0.177	0.000	0.000	0.000	0.777	0.765	0.000	0.000	0.000	0.012	0.177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
71.000	1.001	0.636	0.436	0.000	0.000	0.930	0.177	0.000	0.000	0.000	0.389	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
72.000	1.001	0.589	0.000	0.000	0.000	1.166	0.424	0.000	0.000	0.000	0.224	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
73.000	0.989	0.648	0.035	0.000	0.000	0.636	0.365	0.000	0.000	0.000	0.283	0.000	0.000	0.000	0.000	0.318	0.000	0.000	0.000	0.000	0.024	0.012	0.000	0.000	0.000
74.000	1.001	1.072	0.106	0.000	0.000	0.871	0.000	0.106	0.047	0.000	0.071	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.012	0.024	0.000	0.000	0.000
75.000	1.001	1.178	0.106	0.212	0.000	1.166	0.377	0.000	0.000	0.000	1.072	0.000	0.000	0.000	0.000	0.271	0.000	0.000	0.000	0.000	0.271	0.000	0.000	0.000	0.000
76.000	1.001	0.671	0.212	0.000	0.000	0.718	0.177	0.000	0.000	0.000	0.624	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77.000	1.001	0.977	0.495	0.000	0.000	1.025	0.188	0.000	0.000	0.000	0.283	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78.000	1.001	0.553	0.059	0.000	0.000	0.483	0.200	0.000	0.000	0.000	0.306	0.200	0.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
79.000	1.001	0.848	0.459	0.012	0.000	1.295	0.930	0.000	0.094	0.000	0.919	0.024	0.130	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000
80.000	1.001	0.977	0.707	0.000	0.000	0.977	0.094	0.082	0.000	0.000	0.188	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
81.000	1.001	1.036	0.530	0.012	0.000	1.236	0.707	0.012	0.012	0.000	0.553	0.271	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
82.000	1.001	0.789	0.836	0.035	0.000	0.895	0.707	0.000	0.000	0.000	0.024	0.412	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
83.000	1.001	0.907	0.165	0.035	0.000	0.742	0.165	0.047	0.012	0.000	0.671	0.047	0.000	0.000	0.000	0.035	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
